epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
94,7586.65,1.177,1.93298,1.37702,1.49706,0,0.67567,0.65194,0.65662,0.45822,0.65893,0.64963,0.64343,0.42294,1.1669,1.55815,1.38566,1.48787,0,0.00053965,0.00053965,0.00053965
95,7667.06,1.1566,1.91343,1.35763,1.48854,0,0.77341,0.63379,0.67898,0.4802,0.74906,0.62546,0.66488,0.43694,1.17099,1.6038,1.38919,1.49554,0,0.0005347,0.0005347,0.0005347
96,7747.65,1.16847,1.91483,1.3714,1.49508,0,0.69023,0.64915,0.6628,0.4742,0.68643,0.65922,0.6598,0.425,1.18668,1.60163,1.40399,1.47821,0,0.00052975,0.00052975,0.00052975
97,7828.47,1.16392,1.85877,1.3573,1.48574,0,0.7302,0.64039,0.67864,0.48467,0.7439,0.63163,0.65757,0.43986,1.18982,1.56617,1.38181,1.47807,0,0.0005248,0.0005248,0.0005248
98,7909.28,1.19026,1.91199,1.38001,1.50151,0,0.70408,0.63092,0.66978,0.46168,0.70224,0.62104,0.65795,0.42896,1.18611,1.55952,1.3809,1.47634,0,0.00051985,0.00051985,0.00051985
99,7990.27,1.14951,1.87501,1.32799,1.47982,0,0.696,0.65066,0.6736,0.47739,0.69052,0.65868,0.66673,0.43432,1.163,1.54459,1.34232,1.46761,0,0.0005149,0.0005149,0.0005149
100,8071.63,1.18768,1.91583,1.36613,1.49472,0,0.69658,0.64551,0.65116,0.46901,0.68315,0.63827,0.6452,0.43178,1.1595,1.57604,1.38367,1.44479,0,0.00050995,0.00050995,0.00050995
101,8152.32,1.16801,1.92017,1.37494,1.49084,0,0.76446,0.6151,0.66317,0.48721,0.66887,0.65052,0.65797,0.43776,1.14434,1.53976,1.357,1.44884,0,0.000505,0.000505,0.000505
102,8232.93,1.12173,1.86481,1.30591,1.45839,0,0.68308,0.64765,0.65728,0.4766,0.67311,0.64919,0.64994,0.42858,1.14038,1.5287,1.36293,1.44195,0,0.00050005,0.00050005,0.00050005
103,8313.05,1.13918,1.85613,1.32827,1.46221,0,0.76952,0.63169,0.67368,0.47997,0.77224,0.61955,0.67026,0.44484,1.13392,1.53355,1.36241,1.44824,0,0.0004951,0.0004951,0.0004951
104,8393.47,1.1384,1.8364,1.31499,1.46473,0,0.81725,0.61349,0.67613,0.48118,0.8094,0.60778,0.67213,0.44666,1.1432,1.50483,1.33128,1.44579,0,0.00049015,0.00049015,0.00049015
105,8474.5,1.16151,1.88272,1.31544,1.48432,0,0.67515,0.61912,0.64263,0.4614,0.58624,0.67351,0.64205,0.41733,1.1629,1.55337,1.35834,1.4511,0,0.0004852,0.0004852,0.0004852
106,8554.08,1.13357,1.85517,1.30101,1.46103,0,0.71234,0.63925,0.65672,0.47533,0.68115,0.62676,0.63405,0.42555,1.13087,1.56518,1.34099,1.43423,0,0.00048025,0.00048025,0.00048025
107,8634.24,1.13821,1.86013,1.30477,1.45968,0,0.7513,0.63314,0.68094,0.47986,0.7664,0.60749,0.66067,0.43715,1.16369,1.56341,1.3457,1.46358,0,0.0004753,0.0004753,0.0004753
108,8714.42,1.13603,1.85023,1.32319,1.46572,0,0.7586,0.63522,0.67311,0.47927,0.73795,0.62643,0.65367,0.4362,1.15106,1.57074,1.34668,1.47457,0,0.00047035,0.00047035,0.00047035
109,8794.57,1.12791,1.87327,1.31402,1.46064,0,0.71558,0.65111,0.66489,0.47492,0.71103,0.6472,0.65741,0.431,1.14808,1.53052,1.3335,1.46319,0,0.0004654,0.0004654,0.0004654
110,8874.76,1.11731,1.82272,1.26813,1.44959,0,0.74964,0.62217,0.66057,0.48972,0.73221,0.61622,0.66053,0.4471,1.16026,1.58337,1.38214,1.44542,0,0.00046045,0.00046045,0.00046045
111,8955.6,1.13222,1.84311,1.29529,1.45815,0,0.71911,0.63497,0.6604,0.48215,0.76292,0.59567,0.64964,0.43991,1.14015,1.58036,1.38877,1.44937,0,0.0004555,0.0004555,0.0004555
112,9036.33,1.15002,1.87401,1.32629,1.46572,0,0.74786,0.61722,0.6629,0.47828,0.73857,0.61335,0.65447,0.44234,1.15176,1.56984,1.38378,1.46138,0,0.00045055,0.00045055,0.00045055
113,9117.12,1.11065,1.83914,1.2779,1.43949,0,0.7534,0.65155,0.68252,0.48195,0.74022,0.64545,0.66603,0.44452,1.15143,1.5573,1.35708,1.45243,0,0.0004456,0.0004456,0.0004456
114,9198.35,1.12961,1.85644,1.26182,1.45293,0,0.7562,0.63772,0.68212,0.49269,0.74388,0.63451,0.67017,0.44692,1.1341,1.54203,1.3208,1.4316,0,0.00044065,0.00044065,0.00044065
115,9278.78,1.1272,1.85283,1.28756,1.45027,0,0.7301,0.64265,0.67545,0.48398,0.70745,0.6361,0.66759,0.44841,1.09893,1.51854,1.32336,1.43491,0,0.0004357,0.0004357,0.0004357
116,9359.31,1.12019,1.8358,1.27918,1.44871,0,0.71478,0.63957,0.66748,0.49648,0.7065,0.63782,0.65625,0.4452,1.12025,1.54824,1.35249,1.43087,0,0.00043075,0.00043075,0.00043075
117,9440.4,1.10928,1.82006,1.27744,1.44664,0,0.73484,0.65598,0.68874,0.50005,0.67776,0.67289,0.68113,0.46085,1.12792,1.53728,1.28905,1.4287,0,0.0004258,0.0004258,0.0004258
118,9521.95,1.11156,1.83441,1.25819,1.44129,0,0.68419,0.66543,0.68307,0.49771,0.65702,0.65717,0.67669,0.44816,1.11923,1.49954,1.32437,1.41216,0,0.00042085,0.00042085,0.00042085
